County,NUTS_II,Foot
Carlow,SE,51
Carlow,SE,42
Carlow,SE,19
Carlow,SE,22
Carlow,SE,31
Carlow,SE,26
Carlow,SE,40
Carlow,SE,14
Carlow,SE,13
Carlow,SE,40
Carlow,SE,54
Carlow,SE,41
Carlow,SE,21
Carlow,SE,57
Carlow,SE,17
Carlow,SE,17
Carlow,SE,58
Carlow,SE,56
Carlow,SE,68
Carlow,SE,63
Carlow,SE,47
Carlow,SE,37
Carlow,SE,43
Carlow,SE,20
Carlow,SE,54
Carlow,SE,24
Carlow,SE,26
Carlow,SE,52
Carlow,SE,38
Carlow,SE,32
Carlow,SE,7
Carlow,SE,1
Carlow,SE,4
Carlow,SE,3
Carlow,SE,53
Carlow,SE,48
Carlow,SE,2
Carlow,SE,6
Carlow,SE,2
Carlow,SE,11
Carlow,SE,5
Carlow,SE,24
Carlow,SE,6
Carlow,SE,7
Carlow,SE,34
Carlow,SE,10
Carlow,SE,6
Carlow,SE,4
Carlow,SE,6
Carlow,SE,16
Carlow,SE,4
Carlow,SE,8
Carlow,SE,11
Carlow,SE,52
Carlow,SE,12
Carlow,SE,13
Carlow,SE,6
Carlow,SE,5
Carlow,SE,13
Carlow,SE,19
Carlow,SE,11
Carlow,SE,25
Carlow,SE,42
Carlow,SE,4
Carlow,SE,2
Carlow,SE,30
Carlow,SE,58
Carlow,SE,13
Carlow,SE,21
Carlow,SE,148
Carlow,SE,37
Carlow,SE,57
Carlow,SE,59
Carlow,SE,29
Carlow,SE,40
Carlow,SE,32
Carlow,SE,8
Carlow,SE,17
Carlow,SE,12
Carlow,SE,6
Carlow,SE,18
Carlow,SE,21
Carlow,SE,32
Carlow,SE,24
Carlow,SE,23
Carlow,SE,11
Carlow,SE,28
Carlow,SE,21
Carlow,SE,20
Carlow,SE,7
Carlow,SE,66
Carlow,SE,64
Carlow,SE,66
Carlow,SE,23
Carlow,SE,8
Carlow,SE,37
Carlow,SE,25
Carlow,SE,31
Carlow,SE,26
Carlow,SE,64
Carlow,SE,59
Carlow,SE,47
Carlow,SE,11
Carlow,SE,3
Carlow,SE,48
Carlow,SE,57
Carlow,SE,70
Carlow,SE,50
Carlow,SE,21
Carlow,SE,46
Carlow,SE,12
Carlow,SE,32
Carlow,SE,12
Carlow,SE,11
Carlow,SE,4
Carlow,SE,4
Carlow,SE,28
Carlow,SE,6
Carlow,SE,13
Carlow,SE,4
Carlow,SE,14
Carlow,SE,7
Carlow,SE,2
Carlow,SE,6
Carlow,SE,16
Carlow,SE,6
Carlow,SE,21
Carlow,SE,2
Carlow,SE,2
Carlow,SE,1
Carlow,SE,4
Carlow,SE,7
Carlow,SE,1
Carlow,SE,11
Carlow,SE,4
Carlow,SE,13
Carlow,SE,24
Carlow,SE,0
Carlow,SE,6
Carlow,SE,6
Carlow,SE,2
Carlow,SE,6
Carlow,SE,6
Carlow,SE,7
Carlow,SE,14
Carlow,SE,8
Carlow,SE,24
Carlow,SE,17
Carlow,SE,8
Carlow,SE,13
Carlow,SE,10
Carlow,SE,6
Carlow,SE,43
Carlow,SE,53
Carlow,SE,43
Carlow,SE,47
Carlow,SE,47
Carlow,SE,53
Carlow,SE,48
Carlow,SE,48
Carlow,SE,37
Carlow,SE,41
Carlow,SE,11
Carlow,SE,1
Carlow,SE,17
Carlow,SE,19
Carlow,SE,6
Carlow,SE,4
Carlow,SE,7
Carlow,SE,12
Carlow,SE,2
Carlow,SE,6
Carlow,SE,17
Carlow,SE,18
Carlow,SE,47
Carlow,SE,4
Carlow,SE,10
Carlow,SE,4
Carlow,SE,20
Carlow,SE,9
Carlow,SE,2
Carlow,SE,3
Carlow,SE,3
Carlow,SE,17
Carlow,SE,10
Carlow,SE,2
Carlow,SE,4
Carlow,SE,6
Carlow,SE,3
Carlow,SE,39
Carlow,SE,32
Carlow,SE,45
Carlow,SE,43
Carlow,SE,21
Carlow,SE,16
Carlow,SE,77
Carlow,SE,30
Carlow,SE,27
Carlow,SE,45
Carlow,SE,26
Carlow,SE,24
Carlow,SE,38
Carlow,SE,9
Carlow,SE,3
Carlow,SE,9
Carlow,SE,5
Carlow,SE,6
Carlow,SE,14
Carlow,SE,16
Carlow,SE,14
Kildare,SE,43
Kildare,SE,24
Kildare,SE,30
Kildare,SE,31
Kildare,SE,15
Kildare,SE,28
Kildare,SE,8
Kildare,SE,27
Kildare,SE,20
